"Timestamp","In the past 12 months, has any household member done the following? (Check all that apply) [Visited the Community Center]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town swimming facilities]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town recreational fields or courts]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Pine Meadows golf course]","In the past 12 months, has any household member done the following? (Check all that apply) [Used a school or neighborhood playground]","In the past 12 months, has any household member done the following? (Check all that apply) [Used the Minuteman Bikeway]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Lexpress bus]","In the past 12 months, has any household member done the following? (Check all that apply) [Visited Lexington conservation areas]","In the past 12 months, has any household member done the following? (Check all that apply) [Directly received fire or police services]","In the past 12 months, has any household member done the following? (Check all that apply) [Attended Lexington public schools]","In the past 12 months, has any household member done the following? (Check all that apply) [Participated in any town provided program or service for seniors]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Cary library or attended a library event]","In the past 12 months, has any household member done the following? (Check all that apply) [Served town government in any capacity (employee, committee member, town meeting member, elected representative)]","Are you aware that the Recreation & Community Programs Department offers financial aid for programs and services?","Has a household member received this type of financial assistance to participate in a program or service? ","If your primary residence is rental, please indicate your monthly rental cost: ","If you own your primary residence, please indicate your total monthly housing payment (mortgage, insurance, property taxes):","Do you receive a property tax deferral or property tax credit due to limited income?","What level of stress does your household experience with payment of monthly housing costs?","Please elaborate or share any additional thoughts. ","Thinking about all the costs of living in your owned property or rental (rent/mortgage, home maintenance, condo fees, property taxes, insurance, utilities), what portion of these costs do you estimate is related to property taxes?","Are you responsible for the housing costs at your residence (i.e. owner or lessee)?","Are you considering relocating away from Lexington in the next 10 years?","Age (respondent)","Size of household (number of people)","Disabilities within household (check all that apply)","Length of time living in town (respondent)","What type of property is your residence?","Approximate market property value of your Lexington residence (if owned):","Please indicate your approximate household income in the past 12 months","Please indicate how the survey was shared with you (any groups or lists or whether it was forwarded to you.)","Please share any comments to the survey team about this survey. Thank you."
"2018/10/15 3:18:33 PM EST","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","N/A","Yes","Yes","No","No","No","","<$2,000/month","No","Little","Paying taxes to support public schools without any direct benefit. The town budget and expenditures are geared to families. Ex:  town pool renovations didn't touch the locker rooms, but dressed up the toddlers' pool.","Substantial (76-100%)","Yes","Undecided - Possible","60-69 years","2","N/A","moved in 1979 and earlier","single family home","$500,000-$749,999","$200,000 and over","Lex rec and comm. serv","I question whether you will receive representative responses in this survey. The questions stop short of obtaining some important demographic information. Why no questions on race/nationality??"
"2018/10/15 3:18:35 PM EST","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","N/A","$4,001-$6,000","No","Significant","","Some (26-50%)","Yes","Unlikely","40-49 years","3","none of the above","moved in 2010-2014","single family home","$1,500,000-$1,749,999","$200,000 and over","","Tax burden to Lexington residents is to high. Tax dollars should be spent on the need for an new high school and cut everywhere else."
"2018/10/15 3:18:42 PM EST","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","","N/A","No","","","Little (1-25%)","Yes","Likely","50-59 years","3","none of the above","moved in 1990-1999","single family home","$500,000-$749,999","$150,000-$199,999","",""
"2018/10/15 3:18:55 PM EST","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","","$2,001-$4,000","No","None","","Significant (51-75%)","Yes","Unlikely","60-69 years","2","none of the above","moved in 1980-1989","single family home","$750,000-$999,999","$100,000-$149,999","email",""
"2018/10/15 3:19:56 PM EST","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","N/A","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Unlikely","40-49 years","3","none of the above","moved in 2010-2014","single family home","$1,500,000-$1,749,999","$200,000 and over","Lexington Recreation sent it",""
"2018/10/15 3:19:57 PM EST","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","N/A","Yes","No","No","No","","","No","Significant","","Some (26-50%)","Yes","Likely","60-69 years","5+","none of the above","moved in 1990-1999","single family home","$750,000-$999,999","$100,000-$149,999","email from the town",""
"2018/10/15 3:20:56 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2000-2009","single family home","N/A","","",""
"2018/10/15 3:22:12 PM EST","Yes","Yes","Yes","No","N/A","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","","$2,001-$4,000","No","None","","Substantial (76-100%)","Yes","Undecided - Possible","70-79 years","2","none of the above","moved in 1980-1989","single family home","$750,000-$999,999","$100,000-$149,999","I completed it by my self","If one has paid off the mortgage on one's house the cost given will not reflect what is really happening - is this case the cost is all taxes, insurance, and upkeep - with no mortgage payment involved the numbers may appear low."
"2018/10/15 3:24:21 PM EST","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","N/A","$2,001-$4,000","N/A","Significant","Housing prices in Lexington are very high - it's difficult to keep up with the mortgage and maintenance (house is older, it was what we could afford).","N/A","No","Definitely","under 30 years","2","none of the above","moved in 2000-2009","multi-family home","Less than $500,000","$100,000-$149,999","Email",""
"2018/10/15 3:25:08 PM EST","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Unlikely","70-79 years","4","with an independent living difficulty","moved in 1979 and earlier","single family home","$750,000-$999,999","$100,000-$149,999","my husband gave to me",""
"2018/10/15 3:25:14 PM EST","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","","$2,001-$4,000","No","Some","It bothers us that property taxes are less in other similarly situated towns with equivalent services.  At some point, we will likely have to move from Lexington because of the tax situation.","Substantial (76-100%)","Yes","Likely","50-59 years","2","none of the above","moved in 2000-2009","single family home","$1,750,000-$1,999,999","$200,000 and over","Through Lexington Recreation",""
"2018/10/15 3:26:30 PM EST","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","N/A","$4,001-$6,000","No","Substantial","","Significant (51-75%)","Yes","Likely","N/A","2","with a cognitive difficulty","moved in 1979 and earlier","single family home","N/A","N/A","Emsil",""
"2018/10/15 3:29:15 PM EST","Yes","Yes","N/A","N/A","Yes","Yes","N/A","N/A","Yes","Yes","N/A","Yes","N/A","Yes","No","","$2,001-$4,000","Yes","Some","","Some (26-50%)","Yes","Unlikely","31-39 years","5+","","moved in 2015 or later","condominium","$500,000-$749,999","$200,000 and over","",""
"2018/10/15 3:31:22 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","$1500-2999","N/A","No","Little","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2015 or later","apartment","N/A","$35,000-$49,999","Lexington Recreation & Community Programs",""
"2018/10/15 3:31:45 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","N/A","Yes","No","Yes","No","$4500+","N/A","No","Some","We are a single income family with four children. This is very rare in Lexington. ","N/A","No","Definitely Not","31-39 years","5+","with a vision difficulty","moved in 2015 or later","single family home","I don't live in a property owned by a family member","$200,000 and over","",""
"2018/10/15 3:31:59 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","N/A","Yes","No","No","No","","$2,001-$4,000","No","None","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$200,000 and over","No idea, landed in my inbox","The primary link on the email went to a town registration page that required login credentials. Very confusing. "
"2018/10/15 3:32:01 PM EST","Yes","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","","","No","Significant","Taxes are to high","","","","","","","moved in 1979 and earlier","single family home","","","","Taxes are to high"
"2018/10/15 3:32:04 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","","$2,001-$4,000","No","Little","","Some (26-50%)","Yes","Undecided - Possible","50-59 years","3","with a hearing difficulty","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","direct email via Recreation Department list",""
"2018/10/15 3:33:23 PM EST","Yes","No","No","No","No","No","Yes","Yes","No","N/A","Yes","Yes","Yes","No","No","","<$2,000/month","No","None","","Little (1-25%)","Yes","Definitely Not","80 years and over","2","N/A","moved in 1979 and earlier","single family home","$1,250,000-$1,499,999","$200,000 and over","from the Chinese American Assocaition of Lexington (CAAL)",""
"2018/10/15 3:35:34 PM EST","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","","<$2,000/month","No","Some","","Substantial (76-100%)","Yes","Unlikely","N/A","1","none of the above","moved in 1979 and earlier","single family home","$500,000-$749,999","N/A","",""
"2018/10/15 3:36:36 PM EST","Yes","Yes","No","No","N/A","Yes","No","Yes","No","Yes","N/A","Yes","No","No","No","N/A","","No","Little","","Some (26-50%)","Yes","Undecided - Possible","50-59 years","2","none of the above","moved in 2000-2009","","$750,000-$999,999","$150,000-$199,999","",""
"2018/10/15 3:37:22 PM EST","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","N/A","$2,001-$4,000","No","Little","","Little (1-25%)","Yes","Unlikely","31-39 years","4","N/A","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","",""
"2018/10/15 3:37:56 PM EST","Yes","No","No","No","No","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","$0-$1499","","N/A","Significant","","N/A","Yes","Definitely Not","40-49 years","3","none of the above","moved in 2000-2009","apartment","N/A","Less than $35,000","Email ",""
"2018/10/15 3:38:30 PM EST","Yes","Yes","Yes","","Yes","","Yes","","","Yes","","Yes","N/A","No","N/A","","$6,001-$8,000","No","Significant","","Substantial (76-100%)","Yes","Definitely","40-49 years","4","N/A","moved in 2010-2014","single family home","$1,750,000-$1,999,999","$200,000 and over","Lexington recreation and community",""
"2018/10/15 3:40:20 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","N/A","$4,001-$6,000","No","Some","two fulltime working parents - otherwise level of cost would be unsustainable - this causes work/parenting type of stress","Some (26-50%)","Yes","Likely","40-49 years","4","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$200,000 and over","email","Lexington is a wonderful town. Thank you!"
"2018/10/15 3:40:34 PM EST","Yes","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","","<$2,000/month","No","Little","","Some (26-50%)","Yes","Undecided - Possible","70-79 years","2","none of the above","moved in 1979 and earlier","single family home","$750,000-$999,999","$100,000-$149,999","Forwarded",""
"2018/10/15 3:41:15 PM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","","<$2,000/month","No","Some","I worry that Lexington spends money without any concern for those on fixed incomes e.g. Purchase and demolition of Armenian School on Pelham.","N/A","Yes","Likely","60-69 years","1","none of the above","moved in 1980-1989","single family home","$1,250,000-$1,499,999","N/A","By email","I appreciate the opportunity to give comments because of my concern with all of Lexington tax overrides!"
"2018/10/15 3:42:30 PM EST","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","","$2,001-$4,000","No","None","","Little (1-25%)","Yes","Undecided - Possible","50-59 years","4","none of the above","moved in 2000-2009","","$500,000-$749,999","$150,000-$199,999","email directly from recdept",""
"2018/10/15 3:42:35 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","N/A","Yes","No","No","No","","$2,001-$4,000","No","Some","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","3","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","The Lexington Recreation Department",""
"2018/10/15 3:44:25 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$6,001-$8,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","40-49 years","4","N/A","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","Direct email",""
"2018/10/15 3:45:20 PM EST","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A","Yes","Yes","N/A","No","No","N/A","$2,001-$4,000","No","None","","Some (26-50%)","Yes","Definitely Not","80 years and over","2","none of the above","moved in 1980-1989","single family home","$750,000-$999,999","Less than $35,000","forwarded by email","I believe the survey touched upon facts/issues which will provide a fair (but incomplete) assessment of living conditions in Lexington"
"2018/10/15 3:46:24 PM EST","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","","<$2,000/month","No","None","","","Yes","Unlikely","60-69 years","2","none of the above","moved in 1980-1989","single family home","$1,000,000-$1,249,999","Less than $35,000","",""
"2018/10/15 3:46:34 PM EST","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","","$2,001-$4,000","No","None","","Little (1-25%)","Yes","Definitely Not","31-39 years","2","none of the above","moved in 2010-2014","single family home","$1,000,000-$1,249,999","$200,000 and over","Economic Development Advisory Email",""
"2018/10/15 3:47:30 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","","$6,001-$8,000","No","Some","Total cost is very high and we would likely not be willing to stay e.g. if the stress from the schools led us to move our children into private education ","Some (26-50%)","Yes","Likely","40-49 years","5+","none of the above","moved in 2010-2014","single family home","$2,000,000 and more","$200,000 and over","Town Rec Dept",""
"2018/10/15 3:48:09 PM EST","Yes","Yes","Yes","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","No","","$2,001-$4,000","No","Significant","","Significant (51-75%)","Yes","Definitely","50-59 years","5+","none of the above","moved in 2000-2009","single family home","$1,250,000-$1,499,999","$75,000-$99,000","Town list online ",""
"2018/10/15 3:48:19 PM EST","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Unlikely","31-39 years","4","N/A","moved in 2010-2014","single family home","$750,000-$999,999","$100,000-$149,999","Lex Rec",""
"2018/10/15 3:49:46 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","","$10,001+","No","Little","","N/A","Yes","Unlikely","40-49 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","","I would like to see property costs cover improved plowing so kids can go to school in the winter and not have snow days "
"2018/10/15 3:51:50 PM EST","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Little","","Some (26-50%)","Yes","Unlikely","31-39 years","3","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$150,000-$199,999","",""
"2018/10/15 3:52:09 PM EST","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","Lex Rec email",""
"2018/10/15 3:52:33 PM EST","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes","No","","N/A","No","Little","","N/A","No","Unlikely","80 years and over","2","with an ambulatory difficulty","moved in 1979 and earlier","single family home","$750,000-$999,999","N/A","received in email","I think I filled out this form earlier."
"2018/10/15 3:54:03 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$6,001-$8,000","No","Little","High property taxes","Significant (51-75%)","Yes","Definitely","40-49 years","4","N/A","moved in 2000-2009","single family home","$1,250,000-$1,499,999","$200,000 and over","Email",""
"2018/10/15 3:54:26 PM EST","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","","$10,001+","No","Little","","Some (26-50%)","Yes","Likely","70-79 years","2","none of the above","moved in 1980-1989","single family home","$1,000,000-$1,249,999","$100,000-$149,999","",""
"2018/10/15 3:54:40 PM EST","Yes","Yes","Yes","","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","Yes","Some","","Some (26-50%)","Yes","Undecided - Possible","40-49 years","3","none of the above","moved in 2000-2009","single family home","$500,000-$749,999","$35,000-$49,999","Harrington school parents list, LCC list, Lexington list",""
"2018/10/15 3:55:19 PM EST","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Some","","Little (1-25%)","Yes","Undecided - Possible","50-59 years","3","","moved in 1990-1999","single family home","$500,000-$749,999","$150,000-$199,999","",""
"2018/10/15 3:55:31 PM EST","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","","$2,001-$4,000","No","None","","Little (1-25%)","Yes","Undecided - Possible","50-59 years","5+","none of the above","moved in 1990-1999","single family home","$1,000,000-$1,249,999","$200,000 and over","Lex recreation text",""
"2018/10/15 3:56:44 PM EST","Yes","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","N/A","N/A","","$2,001-$4,000","No","None","","Significant (51-75%)","Yes","Have not considered","70-79 years","2","with a hearing difficulty;with a cognitive difficulty;with an ambulatory difficulty;with a self-care difficulty;with an independent living difficulty","moved in 1979 and earlier","single family home","$500,000-$749,999","$100,000-$149,999","",""
"2018/10/15 3:57:33 PM EST","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","","N/A","No","None","","Substantial (76-100%)","Yes","Definitely","40-49 years","1","N/A","moved in 1979 and earlier","condominium","Less than $500,000","Less than $35,000","received the survey via email",""
"2018/10/15 3:57:47 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","","$4,001-$6,000","N/A","Little","Property tax has been increasing significantly every year.","Some (26-50%)","N/A","Unlikely","31-39 years","3","none of the above;N/A","moved in 2015 or later","single family home","$750,000-$999,999","N/A","Emailed",""
"2018/10/15 3:58:37 PM EST","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","N/A","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Likely","31-39 years","4","none of the above","moved in 2015 or later","single family home","$750,000-$999,999","$150,000-$199,999","Got in email from comm center",""
"2018/10/15 3:58:39 PM EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/10/15 4:00:14 PM EST","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","","$2,001-$4,000","No","Some","","Substantial (76-100%)","Yes","Undecided - Possible","80 years and over","2","with a hearing difficulty","moved in 1990-1999","single family home","$1,000,000-$1,249,999","N/A","sent by the town",""
"2018/10/15 4:01:39 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","","$10,001+","No","Some","","Significant (51-75%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$75,000-$99,000","",""
"2018/10/15 4:01:57 PM EST","Yes","No","No","No","No","No","No","Yes","No","Yes","N/A","Yes","No","No","No","N/A","","No","Substantial","","Some (26-50%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2000-2009","single family home","","","Email",""
"2018/10/15 4:02:09 PM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","","<$2,000/month","No","Some","High RE taxes make staying in Lexington a challenge.  ","Substantial (76-100%)","Yes","Undecided - Possible","60-69 years","2","none of the above","moved in 1980-1989","single family home","$750,000-$999,999","$100,000-$149,999","email from Lex Rec","Seems doubtful that the info will lead to any action that will make Lexington more affordable.  Lex is great while the kids are in school, otherwise it seems time to move on"
"2018/10/15 4:03:18 PM EST","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","","<$2,000/month","No","None","","Some (26-50%)","Yes","Unlikely","60-69 years","2","none of the above","moved in 1980-1989","single family home","$750,000-$999,999","","email from Lex Rec",""
"2018/10/15 4:05:32 PM EST","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","","$2,001-$4,000","No","Little","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","4","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","email directly from town",""
"2018/10/15 4:06:35 PM EST","Yes","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","","$10,001+","No","Some","","Some (26-50%)","Yes","Definitely","50-59 years","2","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$75,000-$99,000","",""
"2018/10/15 4:07:25 PM EST","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","70-79 years","3","with an independent living difficulty","moved in 1980-1989","single family home","$750,000-$999,999","$75,000-$99,000","",""
"2018/10/15 4:09:02 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","N/A","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","Little (1-25%)","Yes","Definitely","50-59 years","4","N/A","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","",""
"2018/10/15 4:09:48 PM EST","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","N/A","No","","$4,001-$6,000","No","Some","Taxes too high. ","N/A","Yes","Undecided - Possible","70-79 years","1","none of the above","moved in 1979 and earlier","single family home","$1,000,000-$1,249,999","$75,000-$99,000","Came as an email ","Ok"
"2018/10/15 4:10:02 PM EST","No","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","","$2,001-$4,000","No","None","","Substantial (76-100%)","Yes","Undecided - Possible","60-69 years","2","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","recdept@lexingtonma.gov",""
"2018/10/15 4:12:13 PM EST","No","No","","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","$4,001-$6,000","No","Significant","","Some (26-50%)","Yes","Definitely","40-49 years","5+","none of the above","moved in 2000-2009","single family home","$1,500,000-$1,749,999","$50,000-$74,999","School",""
"2018/10/15 4:14:28 PM EST","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","","$2,001-$4,000","Yes","Some","","Substantial (76-100%)","Yes","Definitely","60-69 years","2","with a cognitive difficulty;with a self-care difficulty;with an independent living difficulty","moved in 1979 and earlier","single family home","$750,000-$999,999","$35,000-$49,999","",""
"2018/10/15 4:15:19 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","$3000-$4499","","No","Some","Our child has significant medical expenses for cancer treatment. ","","Yes","Definitely","40-49 years","4","with a cognitive difficulty","moved in 2010-2014","single family home","","$150,000-$199,999","",""
"2018/10/15 4:16:20 PM EST","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","80 years and over","3","none of the above","moved in 1990-1999","single family home","$1,000,000-$1,249,999","$100,000-$149,999","forwarded to us by town committee member",""
"2018/10/15 4:17:51 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Some","Incredibly high cost for small home","Some (26-50%)","Yes","Likely","40-49 years","3","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","",""
"2018/10/15 4:19:32 PM EST","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","Substantial (76-100%)","Yes","Undecided - Possible","60-69 years","2","none of the above","moved in 1980-1989","single family home","$1,250,000-$1,499,999","$100,000-$149,999","lexington recreation survey",""
"2018/10/15 4:20:22 PM EST","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","$1500-2999","N/A","No","None","","","N/A","Have not considered","80 years and over","2","with a hearing difficulty;with an ambulatory difficulty","moved in 1979 and earlier","apartment","N/A","$35,000-$49,999","forwarded",""
"2018/10/15 4:21:08 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","","N/A","No","None","","None","Yes","Undecided - Possible","70-79 years","2","with a hearing difficulty","moved in 1979 and earlier","single family home","$1,000,000-$1,249,999","N/A","Don’t know ",""
"2018/10/15 4:22:56 PM EST","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","","$4,001-$6,000","No","Significant","","Significant (51-75%)","Yes","Likely","50-59 years","3","N/A","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$150,000-$199,999","email from town",""
"2018/10/15 4:23:07 PM EST","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","","$6,001-$8,000","No","Significant","","Little (1-25%)","Yes","Likely","50-59 years","4","none of the above","moved in 2015 or later","single family home","$1,500,000-$1,749,999","$200,000 and over","",""
"2018/10/15 4:26:24 PM EST","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","","$2,001-$4,000","No","Significant","","Substantial (76-100%)","Yes","Undecided - Possible","60-69 years","3","","moved in 1990-1999","single family home","$1,000,000-$1,249,999","","e-mail from LexingtonTownService",""
"2018/10/15 4:26:54 PM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","No","N/A","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","80 years and over","2","with a hearing difficulty;with a vision difficulty;with an ambulatory difficulty","moved in 2010-2014","condominium","$1,000,000-$1,249,999","$100,000-$149,999","Email",""
"2018/10/15 4:27:50 PM EST","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","N/A","Yes","No","No","No","N/A","$2,001-$4,000","No","None","","Little (1-25%)","Yes","Unlikely","40-49 years","4","none of the above","moved in 2000-2009","single family home","$1,500,000-$1,749,999","$200,000 and over","email from rec department",""
"2018/10/15 4:28:21 PM EST","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","","$8,001-$10,000","No","Some","","Little (1-25%)","Yes","Unlikely","40-49 years","4","none of the above","moved in 2015 or later","single family home","$1,750,000-$1,999,999","$200,000 and over","Lexington Rec",""
"2018/10/15 4:28:30 PM EST","Yes","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","","$2,001-$4,000","No","None","","Some (26-50%)","Yes","Undecided - Possible","50-59 years","2","N/A","moved in 1990-1999","single family home","$1,000,000-$1,249,999","$200,000 and over","Directly from town/recreation dept",""
"2018/10/15 4:29:56 PM EST","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","N/A","$4,001-$6,000","No","None","","Significant (51-75%)","Yes","Unlikely","60-69 years","3","none of the above","moved in 1979 and earlier","single family home","$1,250,000-$1,499,999","$200,000 and over","emailed",""
"2018/10/15 4:33:18 PM EST","No","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","","$8,001-$10,000","No","Some","","Little (1-25%)","Yes","Have not considered","40-49 years","4","none of the above","moved in 2010-2014","single family home","$1,250,000-$1,499,999","$200,000 and over","Email from Lexington Rec",""
"2018/10/15 4:33:28 PM EST","","","","","","Yes","","Yes","","","","Yes","","No","No","","$4,001-$6,000","Yes","Significant","","Significant (51-75%)","Yes","Likely","70-79 years","2","","moved in 1990-1999","single family home","$1,000,000-$1,249,999","$50,000-$74,999","Email from town",""
"2018/10/15 4:35:41 PM EST","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","N/A","No","$1500-2999","N/A","N/A","Some","Rent rises each month about twice that of COLA","N/A","Yes","Likely","60-69 years","1","N/A","moved in 2000-2009","apartment","N/A","Less than $35,000","email from lexingtonma.gov","Improve the cell phone reception, build local cell towers"
